buller2,ind_weight,ind_month,ind_season,treatment_protocol
0,390,2021-01,Summer,AB11
0,419,2021-01,Summer,AB11
0,323,2021-01,Summer,AB11
0,410,2021-01,Summer,AB11
0,386,2021-01,Summer,AB11
1,416,2021-01,Summer,AB11
0,436,2021-01,Summer,AB11
0,451,2021-01,Summer,AB11
0,485,2021-01,Summer,ANA10
0,424,2021-01,Summer,AB11
0,450,2021-01,Summer,AB11
0,432,2021-01,Summer,AB11
0,462,2021-01,Summer,AB11
0,448,2021-01,Summer,AB11
0,443,2021-01,Summer,AB11
1,424,2021-01,Summer,AB11
0,452,2021-01,Summer,AB11
1,468,2021-01,Summer,AB11
1,465,2021-01,Summer,AB11
0,392,2021-01,Summer,AB11
0,357,2021-01,Summer,AB11
0,422,2021-01,Summer,AB11
0,437,2021-01,Summer,AB11
0,430,2021-01,Summer,AB11
0,440,2021-01,Summer,AB11
1,431,2021-01,Summer,AB11
0,452,2021-01,Summer,AB11
0,461,2021-01,Summer,AB11
0,459,2021-01,Summer,AB11
1,435,2021-01,Summer,AB11
0,428,2021-01,Summer,AB11
0,467,2021-01,Summer,AB11
0,481,2021-01,Summer,AB11
1,464,2021-01,Summer,AB11
1,454,2021-01,Summer,AB11
0,412,2021-01,Summer,AB11
0,434,2021-01,Summer,AB11
0,367,2021-01,Summer,AB11
0,459,2021-01,Summer,AB11
1,424,2021-01,Summer,ANA10
0,413,2021-01,Summer,AB11
0,394,2021-01,Summer,ANA10
0,356,2021-01,Summer,AB11
1,400,2021-01,Summer,AB11
0,416,2021-01,Summer,AB11
0,394,2021-01,Summer,AB11
1,381,2021-01,Summer,AB11
0,409,2021-01,Summer,AB11
0,360,2021-01,Summer,AB11
0,437,2021-01,Summer,AB11
0,408,2021-01,Summer,AB11
0,418,2021-01,Summer,AB11
0,422,2021-01,Summer,AB11
0,386,2021-01,Summer,AB11
1,410,2021-01,Summer,AB11
1,441,2021-01,Summer,AB11
0,438,2021-01,Summer,AB11
0,443,2021-01,Summer,AB11
1,441,2021-01,Summer,AB11
0,460,2021-01,Summer,AB11
0,440,2021-01,Summer,AB11
1,477,2021-01,Summer,AB11
0,452,2021-01,Summer,AB11
0,486,2021-01,Summer,AB11
1,468,2021-01,Summer,AB11
1,450,2021-01,Summer,ANA10
0,450,2021-01,Summer,AB11
0,454,2021-01,Summer,AB11
1,473,2021-01,Summer,ANA10
0,451,2021-01,Summer,AB11
0,439,2021-01,Summer,AB11
0,445,2021-01,Summer,AB11
0,446,2021-01,Summer,AB11
0,460,2021-01,Summer,AB11
0,458,2021-01,Summer,AB11
0,466,2021-01,Summer,AB11
0,465,2021-01,Summer,AB11
0,453,2021-01,Summer,AB11
1,449,2021-01,Summer,AB11
1,462,2021-01,Summer,AB11
1,419,2021-01,Summer,AB11
1,409,2021-01,Summer,AB11
0,406,2021-01,Summer,AB11
0,396,2021-01,Summer,AB11
0,449,2021-01,Summer,AB11
1,421,2021-01,Summer,AB11
0,445,2021-01,Summer,AB11
0,439,2021-01,Summer,AB11
0,429,2021-01,Summer,AB11
0,478,2021-01,Summer,AB11
1,429,2021-01,Summer,AB11
0,446,2021-01,Summer,AB11
0,449,2021-01,Summer,AB11
0,402,2021-01,Summer,ANA10
0,399,2021-01,Summer,AB11
0,417,2021-01,Summer,AB11
0,455,2021-01,Summer,AB11
0,426,2021-01,Summer,AB11
1,438,2021-01,Summer,AB11
1,369,2021-01,Summer,ANA10
1,445,2021-01,Summer,AB11
0,398,2021-01,Summer,AB11
1,419,2021-01,Summer,ANA10
0,385,2021-01,Summer,AB11
0,455,2021-01,Summer,AB11
1,467,2021-01,Summer,ANA10
0,452,2021-01,Summer,ANA10
0,380,2021-01,Summer,AB11
0,380,2021-01,Summer,AB11
1,412,2021-01,Summer,AB11
1,396,2021-01,Summer,AB11
0,414,2021-01,Summer,AB11
0,390,2021-01,Summer,AB11
0,385,2021-01,Summer,AB11
0,403,2021-01,Summer,AB11
1,418,2021-01,Summer,AB11
0,392,2021-01,Summer,AB11
0,405,2021-01,Summer,AB11
0,411,2021-01,Summer,AB11
0,419,2021-01,Summer,AB11
0,408,2021-01,Summer,AB11
1,387,2021-01,Summer,AB11
0,414,2021-01,Summer,AB11
0,436,2021-01,Summer,AB11
0,375,2021-01,Summer,AB11
0,356,2021-01,Summer,AB11
0,402,2021-01,Summer,AB11
1,371,2021-01,Summer,AB11
0,415,2021-01,Summer,AB11
0,393,2021-01,Summer,AB11
1,406,2021-01,Summer,AB11
0,392,2021-01,Summer,AB11
0,399,2021-01,Summer,AB11
0,387,2021-01,Summer,AB11
0,418,2021-01,Summer,AB11
0,413,2021-01,Summer,AB11
1,396,2021-01,Summer,AB11
0,413,2021-01,Summer,AB11
0,416,2021-01,Summer,AB11
1,399,2021-01,Summer,AB11
0,417,2021-01,Summer,AB11
0,410,2021-01,Summer,AB11
1,411,2021-01,Summer,AB11
0,392,2021-01,Summer,AB11
0,406,2021-01,Summer,AB11
0,414,2021-01,Summer,ANA10
0,413,2021-01,Summer,AB11
0,405,2021-01,Summer,AB11
0,397,2021-01,Summer,ANA10
1,403,2021-01,Summer,ANA10
1,400,2021-01,Summer,ANA10
1,443,2021-01,Summer,ANA10
1,455,2021-01,Summer,AB11
1,440,2021-01,Summer,ANA10
0,388,2021-01,Summer,ANA10
1,391,2021-01,Summer,ANA10
1,411,2021-01,Summer,ANA10
1,402,2021-01,Summer,ANA10
1,445,2021-01,Summer,ANA10
1,384,2021-01,Summer,ANA10
0,466,2021-01,Summer,AB11
0,463,2021-01,Summer,AB11
0,453,2021-01,Summer,AB11
0,438,2021-01,Summer,AB11
0,445,2021-01,Summer,AB11
0,451,2021-01,Summer,AB11
0,429,2021-01,Summer,AB11
0,425,2021-01,Summer,AB11
0,428,2021-01,Summer,AB11
0,455,2021-01,Summer,AB11
0,433,2021-01,Summer,AB11
0,423,2021-01,Summer,AB11
0,412,2021-01,Summer,AB11
0,392,2021-01,Summer,AB11
0,405,2021-01,Summer,AB11
1,420,2021-01,Summer,ANA10
1,384,2021-01,Summer,AB11
0,401,2021-01,Summer,AB11
0,422,2021-01,Summer,AB11
0,398,2021-01,Summer,AB11
0,414,2021-01,Summer,AB11
0,405,2021-01,Summer,AB11
0,413,2021-01,Summer,AB11
0,430,2021-01,Summer,AB11
1,379,2021-01,Summer,AB11
1,412,2021-01,Summer,AB11
0,371,2021-01,Summer,AB11
0,415,2021-01,Summer,AB11
0,386,2021-01,Summer,AB11
0,457,2021-01,Summer,AB11
0,454,2021-01,Summer,AB11
0,432,2021-01,Summer,AB11
0,360,2021-01,Summer,AB11
0,423,2021-01,Summer,AB11
0,386,2021-01,Summer,AB11
0,435,2021-01,Summer,AB11
0,415,2021-01,Summer,AB11
0,437,2021-01,Summer,AB11
1,384,2021-01,Summer,AB11
0,389,2021-01,Summer,AB11
0,389,2021-01,Summer,AB11
1,441,2021-01,Summer,ANA10
1,380,2021-01,Summer,AB11
0,386,2021-01,Summer,AB11
0,391,2021-01,Summer,AB11
0,392,2021-01,Summer,AB11
0,451,2021-01,Summer,AB11
